run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2018-05-19_15.00.10,A-1,2630,8390,0,0.0047625494,[],0,1,0,[],[],1,[],SMAP,"[[4690, 4774]]",[point]
2018-05-19_15.00.10,A-2,2398,7664,1,0.07378263,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 3.1834984071487806}, {'start_idx': 7490, 'end_idx': 7490, 'score': 1.295732708502716}]",0,0,1,[],"[(4520, 4589)]",1,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 3.1834984071487806}, {'start_idx': 7490, 'end_idx': 7490, 'score': 1.295732708502716}]",SMAP,"[[4450, 4560]]",[contextual]
2018-05-19_15.00.10,A-3,2486,7955,1,0.044067666,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 2.4762913635304074}]",0,0,1,[],"[(4590, 4659)]",1,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 2.4762913635304074}]",SMAP,"[[4575, 4760]]",[contextual]
2018-05-19_15.00.10,A-4,2440,7830,1,0.0553762,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 1.8376319718938083}]",0,0,1,[],"[(4520, 4589)]",1,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 1.8376319718938083}]",SMAP,"[[4550, 4660]]",[contextual]
2018-05-19_15.00.10,A-5,455,4443,1,0.27434245,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 24.119577415880098}, {'start_idx': 2520, 'end_idx': 2589, 'score': 15.569560858741815}, {'start_idx': 2590, 'end_idx': 2659, 'score': 12.96310501714263}]",0,0,1,[],"[(2700, 2909)]",1,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 24.119577415880098}, {'start_idx': 2520, 'end_idx': 2589, 'score': 15.569560858741815}, {'start_idx': 2590, 'end_idx': 2659, 'score': 12.96310501714263}]",SMAP,"[[2750, 2800]]",[point]
2018-05-19_15.00.10,A-6,432,4203,1,0.26317498,"[{'start_idx': 1571, 'end_idx': 1784, 'score': 1.837175768781648}]",0,0,1,[],"[(1821, 2034)]",1,"[{'start_idx': 1571, 'end_idx': 1784, 'score': 1.837175768781648}]",SMAP,"[[1890, 1930]]",[point]
2018-05-19_15.00.10,A-7,2629,8381,1,0.049612593,"[{'start_idx': 6020, 'end_idx': 6089, 'score': 3.160835535211331}]",0,0,1,[],"[(6270, 6339)]",1,"[{'start_idx': 6020, 'end_idx': 6089, 'score': 3.160835535211331}]",SMAP,"[[6200, 8600]]",[contextual]
2018-05-19_15.00.10,A-8,512,8125,1,0.06732703,"[{'start_idx': 7910, 'end_idx': 7979, 'score': 6.098327486522774}]",0,0,1,[],"[(8160, 8229)]",1,"[{'start_idx': 7910, 'end_idx': 7979, 'score': 6.098327486522774}]",SMAP,"[[4569, 8374]]",[contextual]
2018-05-19_15.00.10,A-9,512,8184,1,0.042787395,"[{'start_idx': 7980, 'end_idx': 8049, 'score': 2.442792941688305}]",0,0,1,[],"[(8230, 8299)]",1,"[{'start_idx': 7980, 'end_idx': 8049, 'score': 2.442792941688305}]",SMAP,"[[4569, 8433]]",[contextual]
2018-05-19_15.00.10,B-1,2185,7794,1,0.35226098,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 15.628027305248851}, {'start_idx': 4830, 'end_idx': 4899, 'score': 16.431355787079966}, {'start_idx': 4900, 'end_idx': 4969, 'score': 13.369171588056314}]",0,0,1,[],"[(5010, 5219)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 15.628027305248851}, {'start_idx': 4830, 'end_idx': 4899, 'score': 16.431355787079966}, {'start_idx': 4900, 'end_idx': 4969, 'score': 13.369171588056314}]",SMAP,"[[5060, 5130]]",[point]
2018-05-19_15.00.10,C-1,1908,2014,0,0.015536606,[],0,2,0,[],[],2,[],MSL,"[[550, 750], [2100, 2210]]","[point, contextual]"
2018-05-19_15.00.10,C-2,514,1801,0,0.24226294,[],0,2,0,[],[],2,[],MSL,"[[290, 390], [1540, 1575]]","[point, contextual]"
2018-05-19_15.00.10,D-1,2599,8259,1,0.09564034,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 9.738743435374719}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.61928724759473}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 9.738743435374719}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.61928724759473}]",SMAP,"[[5250, 8508]]",[point]
2018-05-19_15.00.10,D-11,2361,7181,0,0.0032219212,[],0,1,0,[],[],1,[],SMAP,"[[4270, 4330]]",[point]
2018-05-19_15.00.10,D-12,62,7668,3,0.13658656,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 11.115173470895302}, {'start_idx': 5180, 'end_idx': 5249, 'score': 11.327225996855072}, {'start_idx': 5670, 'end_idx': 5739, 'score': 8.836235047588664}, {'start_idx': 6020, 'end_idx': 6089, 'score': 7.825503426070771}, {'start_idx': 6090, 'end_idx': 6159, 'score': 8.156118731230075}]",0,0,1,[],"[(5360, 5499), (5920, 5989), (6270, 6409)]",1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 11.115173470895302}, {'start_idx': 5180, 'end_idx': 5249, 'score': 11.327225996855072}, {'start_idx': 5670, 'end_idx': 5739, 'score': 8.836235047588664}, {'start_idx': 6020, 'end_idx': 6089, 'score': 7.825503426070771}, {'start_idx': 6090, 'end_idx': 6159, 'score': 8.156118731230075}]",SMAP,"[[5178, 7917]]",[point]
2018-05-19_15.00.10,D-13,1240,7413,1,0.31276864,"[{'start_idx': 4830, 'end_idx': 4899, 'score': 18.161985984107737}, {'start_idx': 4900, 'end_idx': 4969, 'score': 15.559213066051258}, {'start_idx': 4970, 'end_idx': 5039, 'score': 13.16246466293092}]",0,0,1,[],"[(5080, 5289)]",1,"[{'start_idx': 4830, 'end_idx': 4899, 'score': 18.161985984107737}, {'start_idx': 4900, 'end_idx': 4969, 'score': 15.559213066051258}, {'start_idx': 4970, 'end_idx': 5039, 'score': 13.16246466293092}]",SMAP,"[[5070, 5230]]",[point]
2018-05-19_15.00.10,D-14,3425,2375,1,0.07363721,"[{'start_idx': 1520, 'end_idx': 1858, 'score': 11.406694278774056}]",0,1,1,[],"[(1770, 2108)]",2,"[{'start_idx': 1520, 'end_idx': 1858, 'score': 11.406694278774056}]",MSL,"[[1630, 1650], [1800, 2000]]","[point, point]"
2018-05-19_15.00.10,D-15,1824,1908,0,0.16278325,[],0,1,0,[],[],1,[],MSL,"[[1500, 2140]]",[point]
2018-05-19_15.00.10,D-16,1201,1941,0,0.22400795,[],0,1,0,[],[],1,[],MSL,"[[600, 1250]]",[contextual]
2018-05-19_15.00.10,D-2,2630,8345,3,0.4312379,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 20.512518286530224}, {'start_idx': 4480, 'end_idx': 4549, 'score': 14.737876699765813}, {'start_idx': 8190, 'end_idx': 8259, 'score': 0.39504587852443235}, {'start_idx': 8275, 'end_idx': 8344, 'score': 2.148665298127144}]",0,0,1,[],"[(4660, 4799), (8440, 8509), (8525, 8594)]",1,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 20.512518286530224}, {'start_idx': 4480, 'end_idx': 4549, 'score': 14.737876699765813}, {'start_idx': 8190, 'end_idx': 8259, 'score': 0.39504587852443235}, {'start_idx': 8275, 'end_idx': 8344, 'score': 2.148665298127144}]",SMAP,"[[4319, 8536]]",[point]
2018-05-19_15.00.10,D-3,2630,8390,1,0.21319072,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 10.514472520744619}, {'start_idx': 5180, 'end_idx': 5249, 'score': 10.747727039926554}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.437889254675847}]",0,0,1,[],"[(5360, 5569)]",1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 10.514472520744619}, {'start_idx': 5180, 'end_idx': 5249, 'score': 10.747727039926554}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.437889254675847}]",SMAP,"[[5225, 8500]]",[point]
2018-05-19_15.00.10,D-4,2583,8223,1,0.20852232,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 12.335693716466217}, {'start_idx': 5110, 'end_idx': 5179, 'score': 11.73901351789155}, {'start_idx': 5180, 'end_idx': 5249, 'score': 11.080268374885556}]",0,0,1,[],"[(5290, 5499)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 12.335693716466217}, {'start_idx': 5110, 'end_idx': 5179, 'score': 11.73901351789155}, {'start_idx': 5180, 'end_idx': 5249, 'score': 11.080268374885556}]",SMAP,"[[5225, 8472]]",[point]
2018-05-19_15.00.10,D-5,2311,7378,0,0.9080437,[],0,1,0,[],[],1,[],SMAP,"[[4800, 4850]]",[point]
2018-05-19_15.00.10,D-6,2344,7634,1,0.0061632274,"[{'start_idx': 4620, 'end_idx': 4689, 'score': 10.715515590572291}]",0,0,1,[],"[(4870, 4939)]",1,"[{'start_idx': 4620, 'end_idx': 4689, 'score': 10.715515590572291}]",SMAP,"[[4870, 4950]]",[point]
2018-05-19_15.00.10,D-7,2333,7392,3,0.1848317,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 12.64891256217631}, {'start_idx': 4830, 'end_idx': 4899, 'score': 12.297907505903343}, {'start_idx': 5180, 'end_idx': 5249, 'score': 9.724690865976015}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.54484468040269}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.822609446351127}]",0,0,1,[],"[(5010, 5149), (5430, 5569), (5710, 5779)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 12.64891256217631}, {'start_idx': 4830, 'end_idx': 4899, 'score': 12.297907505903343}, {'start_idx': 5180, 'end_idx': 5249, 'score': 9.724690865976015}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.54484468040269}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.822609446351127}]",SMAP,"[[4940, 7641]]",[point]
2018-05-19_15.00.10,D-8,2352,7624,0,0.0014018212,[],0,1,0,[],[],1,[],SMAP,"[[4370, 4420]]",[point]
2018-05-19_15.00.10,D-9,2333,7156,1,0.120374665,"[{'start_idx': 6160, 'end_idx': 6229, 'score': 33.71715769736192}, {'start_idx': 6230, 'end_idx': 6299, 'score': 16.540627409165804}, {'start_idx': 6300, 'end_idx': 6369, 'score': 13.409690007157353}]",0,0,1,[],"[(6410, 6619)]",1,"[{'start_idx': 6160, 'end_idx': 6229, 'score': 33.71715769736192}, {'start_idx': 6230, 'end_idx': 6299, 'score': 16.540627409165804}, {'start_idx': 6300, 'end_idx': 6369, 'score': 13.409690007157353}]",SMAP,"[[6250, 7405]]",[point]
2018-05-19_15.00.10,E-1,2630,8266,1,0.04670017,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 7.662756001693519}]",0,1,1,[],"[(5010, 5079)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 7.662756001693519}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2018-05-19_15.00.10,E-10,2630,8255,2,0.051791806,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 6.968346465639945}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.21528241137354}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.016975605684147}]",0,0,2,[],"[(5010, 5079), (5640, 5779)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 6.968346465639945}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.21528241137354}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.016975605684147}]",SMAP,"[[5000, 5050], [5601, 5871]]","[contextual, contextual]"
