run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2024-09-23_15.05.12,A-1,2630,8390,1,"[{'start_idx': 4480, 'end_idx': 4549, 'score': 8.399438147171995}, {'start_idx': 4550, 'end_idx': 4619, 'score': 6.466266158043037}, {'start_idx': 4620, 'end_idx': 4665, 'score': 5.288008991047003}]",0,0,1,[],"[(4730, 4915)]",1,"[{'start_idx': 4480, 'end_idx': 4549, 'score': 8.399438147171995}, {'start_idx': 4550, 'end_idx': 4619, 'score': 6.466266158043037}, {'start_idx': 4620, 'end_idx': 4665, 'score': 5.288008991047003}]",SMAP,"[[4690, 4774]]",[point]
2024-09-23_15.05.12,A-2,2398,7664,2,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 2.3329368464861986}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.5045508091307873}, {'start_idx': 6230, 'end_idx': 6299, 'score': 2.946705943579175}]",1,0,1,"[[6480, 6549]]","[(4520, 4659)]",1,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 2.3329368464861986}, {'start_idx': 4340, 'end_idx': 4409, 'score': 2.5045508091307873}, {'start_idx': 6230, 'end_idx': 6299, 'score': 2.946705943579175}]",SMAP,"[[4450, 4560]]",[contextual]
2024-09-23_15.05.12,A-3,2486,7955,1,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 3.1171952702162944}, {'start_idx': 4410, 'end_idx': 4479, 'score': 4.284725142923065}, {'start_idx': 4480, 'end_idx': 4549, 'score': 4.735459433078553}, {'start_idx': 4550, 'end_idx': 4619, 'score': 4.215597036842984}]",0,0,1,[],"[(4590, 4869)]",1,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 3.1171952702162944}, {'start_idx': 4410, 'end_idx': 4479, 'score': 4.284725142923065}, {'start_idx': 4480, 'end_idx': 4549, 'score': 4.735459433078553}, {'start_idx': 4550, 'end_idx': 4619, 'score': 4.215597036842984}]",SMAP,"[[4575, 4760]]",[contextual]
2024-09-23_15.05.12,A-4,2440,7830,1,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 1.9049597596522025}, {'start_idx': 4340, 'end_idx': 4409, 'score': 3.698820846009772}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.8923292450623967}, {'start_idx': 4480, 'end_idx': 4549, 'score': 3.0559345994401967}]",0,0,1,[],"[(4520, 4799)]",1,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 1.9049597596522025}, {'start_idx': 4340, 'end_idx': 4409, 'score': 3.698820846009772}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.8923292450623967}, {'start_idx': 4480, 'end_idx': 4549, 'score': 3.0559345994401967}]",SMAP,"[[4550, 4660]]",[contextual]
2024-09-23_15.05.12,A-5,455,4443,1,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 20.612135169563608}, {'start_idx': 2520, 'end_idx': 2589, 'score': 13.508224721624416}, {'start_idx': 2590, 'end_idx': 2659, 'score': 11.834797653570531}, {'start_idx': 2660, 'end_idx': 2729, 'score': 10.82607726204283}, {'start_idx': 2730, 'end_idx': 2799, 'score': 10.106726302425361}]",0,0,1,[],"[(2700, 3049)]",1,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 20.612135169563608}, {'start_idx': 2520, 'end_idx': 2589, 'score': 13.508224721624416}, {'start_idx': 2590, 'end_idx': 2659, 'score': 11.834797653570531}, {'start_idx': 2660, 'end_idx': 2729, 'score': 10.82607726204283}, {'start_idx': 2730, 'end_idx': 2799, 'score': 10.106726302425361}]",SMAP,"[[2750, 2800]]",[point]
2024-09-23_15.05.12,A-6,432,4203,1,"[{'start_idx': 1554, 'end_idx': 1819, 'score': 3.4048741554681343}]",0,0,1,[],"[(1804, 2069)]",1,"[{'start_idx': 1554, 'end_idx': 1819, 'score': 3.4048741554681343}]",SMAP,"[[1890, 1930]]",[point]
2024-09-23_15.05.12,A-7,2629,8381,1,"[{'start_idx': 5950, 'end_idx': 6019, 'score': 0.5966486170862354}, {'start_idx': 6020, 'end_idx': 6089, 'score': 3.7822027783309746}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.946224328156178}, {'start_idx': 6160, 'end_idx': 6229, 'score': 5.342836616539106}, {'start_idx': 6230, 'end_idx': 6299, 'score': 5.444044085458969}, {'start_idx': 6300, 'end_idx': 6369, 'score': 5.569003866309553}, {'start_idx': 6370, 'end_idx': 6439, 'score': 5.562945954158852}]",0,0,1,[],"[(6200, 6689)]",1,"[{'start_idx': 5950, 'end_idx': 6019, 'score': 0.5966486170862354}, {'start_idx': 6020, 'end_idx': 6089, 'score': 3.7822027783309746}, {'start_idx': 6090, 'end_idx': 6159, 'score': 4.946224328156178}, {'start_idx': 6160, 'end_idx': 6229, 'score': 5.342836616539106}, {'start_idx': 6230, 'end_idx': 6299, 'score': 5.444044085458969}, {'start_idx': 6300, 'end_idx': 6369, 'score': 5.569003866309553}, {'start_idx': 6370, 'end_idx': 6439, 'score': 5.562945954158852}]",SMAP,"[[6200, 8600]]",[contextual]
2024-09-23_15.05.12,A-8,512,8125,1,"[{'start_idx': 7840, 'end_idx': 7909, 'score': 5.819550455462741}, {'start_idx': 7910, 'end_idx': 7979, 'score': 6.826732169692066}, {'start_idx': 7980, 'end_idx': 8049, 'score': 7.184771055909475}]",0,0,1,[],"[(8090, 8299)]",1,"[{'start_idx': 7840, 'end_idx': 7909, 'score': 5.819550455462741}, {'start_idx': 7910, 'end_idx': 7979, 'score': 6.826732169692066}, {'start_idx': 7980, 'end_idx': 8049, 'score': 7.184771055909475}]",SMAP,"[[4569, 8374]]",[contextual]
2024-09-23_15.05.12,A-9,512,8184,1,"[{'start_idx': 7980, 'end_idx': 8049, 'score': 2.2312973501377975}]",0,0,1,[],"[(8230, 8299)]",1,"[{'start_idx': 7980, 'end_idx': 8049, 'score': 2.2312973501377975}]",SMAP,"[[4569, 8433]]",[contextual]
2024-09-23_15.05.12,B-1,2185,7794,1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 22.458076809408354}, {'start_idx': 4830, 'end_idx': 4899, 'score': 15.56347536618934}, {'start_idx': 4900, 'end_idx': 4969, 'score': 12.985705246918734}, {'start_idx': 4970, 'end_idx': 5039, 'score': 11.585330413677571}, {'start_idx': 5040, 'end_idx': 5109, 'score': 10.66399335230079}, {'start_idx': 5110, 'end_idx': 5179, 'score': 9.98345969465298}]",0,0,1,[],"[(5010, 5429)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 22.458076809408354}, {'start_idx': 4830, 'end_idx': 4899, 'score': 15.56347536618934}, {'start_idx': 4900, 'end_idx': 4969, 'score': 12.985705246918734}, {'start_idx': 4970, 'end_idx': 5039, 'score': 11.585330413677571}, {'start_idx': 5040, 'end_idx': 5109, 'score': 10.66399335230079}, {'start_idx': 5110, 'end_idx': 5179, 'score': 9.98345969465298}]",SMAP,"[[5060, 5130]]",[point]
